From,To,Fixed Duration,Duration,Offset
Idle,IdleToRun,FALSE,0,0
Any,Idle,TRUE,0.25,0
,,,,
IdleToRun,Run,TRUE,0.25,0.18
Run,RunToIdle_R,TRUE,0.25,0
RunToIdle_R,Idle,TRUE,0.05,0
Any,Run,TRUE,0.25,0
,,,,
IdleTurn,Run,FALSE,0.05,0.625
IdleTurn_R,Run,FALSE,0.05,0.625
RunTurn,Run,FALSE,0.05,0.19
RunTurn_R,Run,FALSE,0.05,0.68
,,,,
Landing_Idle_Soft,Run,TRUE,0.25,0
Landing_Idle_Medium,Run,TRUE,0.25,0
Landing_Idle_Heavy,Run,FALSE,0.05,0
Landing_Running_Soft,Run,FALSE,0.05,0
Landing_Running_Medium,Run,FALSE,0.05,0.35
Landing_Running_Heavy,Run,FALSE,0.25,0
,,,,
Run,RunJump_Blend_Tree,TRUE,0.05,0
Idle,IdleJump,TRUE,0.05,0
,,,,
Any,RunJump_Blend_Tree,TRUE,0.05,0
Any,IdleJump,TRUE,0.05,0
,,,,
RunJump_Blend_Tree,Fall_FromRun,TRUE,0.25,0
RunJump_Blend_Tree,Fall_FromJump,TRUE,0.05,0
Any,Fall_FromRun,TRUE,0.25,0
,,,,
Any,ClimbLedge_Directly_Critical,TRUE,0.2,0
Any,ClimbLedge_OverHead_Hanging,TRUE,0.2,0
Any,ClimbLedge_Directly_OverHead,TRUE,0.2,0
Any,ClimbLedgeToIdle,FALSE,0.05,0
Any,ClimbLedgeToRun,FALSE,0.05,0
,,,,
Any,Landing_Idle_Soft,TRUE,0.05,0
Any,Landing_Idle_Medium,TRUE,0.05,0
Any,Landing_Idle_Heavy,TRUE,0.05,0
Any,Landing_Running_Soft,TRUE,0.05,0
Any,Landing_Running_Medium,TRUE,0.05,0
Any,Landing_Running_Heavy,TRUE,0.05,0
,,,,
Any,IdleTurn,TRUE,0.05,0
Any,IdleTurn_R,TRUE,0.05,0
Any,RunTurn,TRUE,0.05,0
Any,RunTurn_R,TRUE,0.05,0
,,,,
Any,RunToIdle_R,TRUE,0.25,0
Any,IdleToRun,TRUE,0.25,0
,,,,
Landing_Idle_Medium,IdleTurn,TRUE,0.25,0
Landing_Idle_Medium,IdleTurn_R,TRUE,0.25,0
,,,,
ClimbLedge_Directly_OverHead,RunTurn,TRUE,0.25,0
ClimbLedge_Directly_OverHead,RunTurn_R,TRUE,0.25,0
ClimbLedge_Directly_Critical,RunTurn,TRUE,0.25,0
ClimbLedge_Directly_Critical,RunTurn_R,TRUE,0.25,0
,,,,
Any,Traversal_Ladder_Climb_Up_Loop,TRUE,0.25,0
Any,Ladder_ClimbUp,TRUE,0.25,0
Any,Ladder_Start_From_Top,TRUE,0.25,0
Ladder_Start_From_Top,Ladder_ClimbUp,FALSE,0,0.5
Ladder_ClimbUp,Ladder_Look_Back_L,FALSE,0.2,0
Ladder_ClimbUp,Ladder_Look_Back_R,FALSE,0.2,0
Ladder_Look_Back_L,Ladder_ClimbUp,FALSE,0.2,0
Ladder_Look_Back_R,Ladder_ClimbUp,FALSE,0.2,0
Ladder_Look_Back_L,Ladder_Look_Back_L,FALSE,0,0
Ladder_Look_Back_R,Ladder_Look_Back_R,FALSE,0,0
Ladder_Look_Back_L,RunJump_Blend_Tree,FALSE,0.2,0
Ladder_Look_Back_R,RunJump_Blend_Tree,FALSE,0.2,0
Ladder_Look_Back_L,Ladder_Look_Back_To_Jump_L,TRUE,0,0
Ladder_Look_Back_R,Ladder_Look_Back_To_Jump_R,TRUE,0,0
Ladder_Look_Back_To_Jump_L,RunJump_Blend_Tree,TRUE,0,0
Ladder_Look_Back_To_Jump_R,RunJump_Blend_Tree,TRUE,0,0
,,,,
Any,PushPull_LL,FALSE,0.2,0
Any,PushPull_RR,FALSE,0.2,0
PushPull_LL,PushPull_RR,FALSE,0.2,0
PushPull_RR,PushPull_LL,FALSE,0.2,0
PushPull_LL,PushPull_LR,FALSE,0.2,0
PushPull_RR,PushPull_RL,FALSE,0.2,0
PushPull_LR,PushPull_LL,FALSE,0.2,0
PushPull_RL,PushPull_RL,FALSE,0.2,0
Any,PushPull_Front_Idle,FALSE,0.2,0
Any,PushPull_Front_Push,FALSE,0.2,0
PushPull_Front_Idle,PushPull_Front_Pull,FALSE,0.2,0
PushPull_Front_Idle,PushPull_Front_Push,FALSE,0.2,0
,,,,
Any,Activate_Wall_SlideLever_Idle,FALSE,0.2,0
Activate_Wall_SlideLever_Idle,Activate_Wall_SlideLever_Up,FALSE,0.2,0
Activate_Wall_SlideLever_Idle,Activate_Wall_SlideLever_Down,FALSE,0.2,0
